fir_number,date_filed,time_filed,police_station,district,crime_type,ipc_sections,location_description,latitude,longitude,description_text,status,filed_by_officer_id,created_at
BLR-2024-0067,2025-06-30,18:30:00,Malleswaram PS,Bengaluru North,Cheating,IPC 379,Malleshwaram,13.059282,77.582549,Residents of Malleshwaram reported a cheating incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,67,2025-06-30 05:30:00
BLR-2024-0068,2025-07-17,00:30:00,Hebbal PS,Bengaluru North,Robbery,"IPC 392, IPC 394",Hebbal,13.059531,77.569865,Residents of Hebbal reported a robbery incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,under_investigation,68,2025-07-17 03:05:00
BLR-2024-0069,2026-03-16,11:00:00,Whitefield PS,Bengaluru East,Vehicle Theft,IPC 379,Whitefield,13.003824,77.656957,A case of vehicle theft occurred near Whitefield area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,69,2026-03-16 01:02:00
BLR-2024-0070,2025-07-12,18:30:00,BTM Layout PS,Bengaluru South,Burglary,IPC 379,Sarjapur,12.932789,77.603794,A complaint regarding burglary was lodged at the Sarjapur police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,closed,70,2025-07-12 05:12:00
BLR-2024-0071,2025-06-14,00:30:00,JP Nagar PS,Bengaluru South,Cheating,IPC 379,JP Nagar,12.924606,77.567079,A case of cheating occurred near JP Nagar area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,71,2025-06-14 01:49:00
BLR-2024-0072,2025-10-13,02:15:00,Basavanagudi PS,Bengaluru West,Domestic Violence,"IPC 498A, IPC 323",Basavanagudi,12.98313,77.556288,"An incident of domestic violence was reported in Basavanagudi, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",under_investigation,72,2025-10-13 04:03:00
BLR-2024-0073,2025-09-13,09:45:00,Whitefield PS,Bengaluru East,Assault,"IPC 351, IPC 352",Koramangala,13.023398,77.644563,A case of assault occurred near Koramangala area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,closed,73,2025-09-13 05:35:00
BLR-2024-0074,2025-09-05,18:30:00,Jayanagar PS,Bengaluru South,Fraud,"IPC 420, IPC 468",Jayanagar,12.912211,77.602868,A case of fraud occurred near Jayanagar area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,under_investigation,74,2025-09-05 05:27:00
BLR-2024-0075,2026-01-31,18:30:00,Vasanth Nagar PS,Bengaluru Central,Drug Possession,IPC 379,Brigade Road,13.005888,77.609746,Residents of Brigade Road reported a drug possession incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,closed,75,2026-01-31 03:48:00
BLR-2024-0076,2026-02-08,00:30:00,Banashankari PS,Bengaluru South,Fraud,"IPC 420, IPC 468",Bellandur,12.943607,77.586491,A case of fraud occurred near Bellandur area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,76,2026-02-08 03:28:00
BLR-2024-0077,2025-10-30,14:50:00,Yelahanka PS,Bengaluru North,Vandalism,"IPC 427, IPC 435",Yelahanka,13.062813,77.566415,Residents of Yelahanka reported a vandalism incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,77,2025-10-30 05:05:00
BLR-2024-0078,2026-04-21,09:45:00,Basavanagudi PS,Bengaluru South,Vandalism,"IPC 427, IPC 435",Basavanagudi,12.900558,77.576812,A complaint regarding vandalism was lodged at the Basavanagudi police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,78,2026-04-21 01:26:00
BLR-2024-0079,2025-08-16,06:30:00,Shivajinagar PS,Bengaluru West,Fraud,"IPC 420, IPC 468",Shivajinagar,12.989853,77.532615,Residents of Shivajinagar reported a fraud incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,79,2025-08-16 04:24:00
BLR-2024-0080,2025-07-26,16:10:00,Sadashivanagar PS,Bengaluru North,Domestic Violence,"IPC 498A, IPC 323",Malleshwaram,13.071404,77.603592,A case of domestic violence occurred near Malleshwaram area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,closed,80,2025-07-26 01:22:00
BLR-2024-0081,2026-05-02,16:10:00,Vijayanagar PS,Bengaluru West,Vehicle Theft,IPC 379,Vijayanagar,13.015209,77.559741,A complaint regarding vehicle theft was lodged at the Vijayanagar police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,under_investigation,81,2026-05-02 05:51:00
BLR-2024-0082,2026-05-01,13:20:00,MG Road PS,Bengaluru Central,Stalking,IPC 354D,MG Road,13.005912,77.599529,A complaint regarding stalking was lodged at the MG Road police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,closed,82,2026-05-01 04:01:00
BLR-2024-0083,2025-07-18,02:15:00,KR Puram PS,Bengaluru East,Hit and Run,"IPC 279, IPC 304A",Koramangala,13.00351,77.725777,A case of hit and run occurred near Koramangala area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,83,2025-07-18 04:58:00
BLR-2024-0084,2025-08-18,16:10:00,Jayanagar PS,Bengaluru South,Burglary,IPC 379,Jayanagar,12.958651,77.587389,Residents of Jayanagar reported a burglary incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,under_investigation,84,2025-08-18 05:42:00
BLR-2024-0085,2026-04-13,18:30:00,JP Nagar PS,Bengaluru South,Vandalism,"IPC 427, IPC 435",JP Nagar,12.895876,77.580003,A complaint regarding vandalism was lodged at the JP Nagar police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,85,2026-04-13 01:16:00
BLR-2024-0086,2025-11-20,16:10:00,Magadi Road PS,Bengaluru West,Hit and Run,"IPC 279, IPC 304A",Bellandur,12.9827,77.522879,A complaint regarding hit and run was lodged at the Bellandur police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,86,2025-11-20 04:16:00
BLR-2024-0087,2026-03-25,06:30:00,Basavanagudi PS,Bengaluru North,Hit and Run,"IPC 279, IPC 304A",Basavanagudi,13.048218,77.602432,A complaint regarding hit and run was lodged at the Basavanagudi police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,87,2026-03-25 02:41:00
BLR-2024-0088,2025-06-20,06:30:00,JP Nagar PS,Bengaluru South,Kidnapping,"IPC 363, IPC 365",JP Nagar,12.944686,77.595623,A complaint regarding kidnapping was lodged at the JP Nagar police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,88,2025-06-20 02:53:00
BLR-2024-0089,2025-11-30,00:30:00,Malleswaram PS,Bengaluru North,Stalking,IPC 354D,Kammanahalli,13.029143,77.558835,A complaint regarding stalking was lodged at the Kammanahalli police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,89,2025-11-30 05:13:00
BLR-2024-0090,2026-05-08,22:45:00,Magadi Road PS,Bengaluru West,Vandalism,"IPC 427, IPC 435",Bellandur,13.016014,77.511745,A complaint regarding vandalism was lodged at the Bellandur police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,90,2026-05-08 02:19:00
BLR-2024-0091,2025-10-29,22:45:00,Cunningham Road PS,Bengaluru Central,Domestic Violence,"IPC 498A, IPC 323",Cunningham Road,12.993147,77.617155,A complaint regarding domestic violence was lodged at the Cunningham Road police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,closed,91,2025-10-29 04:45:00
BLR-2024-0092,2025-09-28,00:30:00,MG Road PS,Bengaluru Central,Domestic Violence,"IPC 498A, IPC 323",MG Road,12.97304,77.607625,Residents of MG Road reported a domestic violence incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,92,2025-09-28 01:44:00
BLR-2024-0093,2025-06-14,22:45:00,Varthur PS,Bengaluru East,Hit and Run,"IPC 279, IPC 304A",Kammanahalli,13.014442,77.725547,Residents of Kammanahalli reported a hit and run incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,93,2025-06-14 03:34:00
BLR-2024-0094,2025-07-05,06:30:00,Magadi Road PS,Bengaluru West,Stalking,IPC 354D,Bannerghatta Road,12.974137,77.545328,A complaint regarding stalking was lodged at the Bannerghatta Road police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,closed,94,2025-07-05 04:06:00
BLR-2024-0095,2026-01-15,02:15:00,Magadi Road PS,Bengaluru West,Fraud,"IPC 420, IPC 468",Kammanahalli,13.008135,77.55801,A case of fraud occurred near Kammanahalli area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,95,2026-01-15 04:11:00
BLR-2024-0096,2025-09-18,20:00:00,JP Nagar PS,Bengaluru South,Robbery,"IPC 392, IPC 394",JP Nagar,12.957583,77.568906,A complaint regarding robbery was lodged at the JP Nagar police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,closed,96,2025-09-18 04:27:00
BLR-2024-0097,2025-10-08,08:15:00,Shivajinagar PS,Bengaluru Central,Stalking,IPC 354D,HSR Layout,12.982892,77.58982,Residents of HSR Layout reported a stalking incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,97,2025-10-08 04:15:00
BLR-2024-0098,2025-12-31,14:50:00,Vijayanagar PS,Bengaluru West,Drug Possession,IPC 379,Vijayanagar,13.004191,77.546773,"An incident of drug possession was reported in Vijayanagar, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,98,2025-12-31 04:54:00
BLR-2024-0099,2025-11-27,13:20:00,Whitefield PS,Bengaluru East,Robbery,"IPC 392, IPC 394",Bannerghatta Road,12.989004,77.672579,A case of robbery occurred near Bannerghatta Road area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,99,2025-11-27 03:56:00
BLR-2024-0100,2025-06-25,06:30:00,Yelahanka PS,Bengaluru North,Drug Possession,IPC 379,Yelahanka,13.062071,77.569339,"An incident of drug possession was reported in Yelahanka, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",under_investigation,100,2025-06-25 02:05:00
BLR-2024-0101,2025-10-28,11:00:00,Marathahalli PS,Bengaluru East,Chain Snatching,IPC 379,Marathahalli,13.007606,77.688629,Residents of Marathahalli reported a chain snatching incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,closed,101,2025-10-28 04:28:00
BLR-2024-0102,2025-11-19,02:15:00,Marathahalli PS,Bengaluru East,Vandalism,"IPC 427, IPC 435",Marathahalli,12.957444,77.656592,Residents of Marathahalli reported a vandalism incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,102,2025-11-19 03:42:00
BLR-2024-0103,2025-08-17,14:50:00,Hebbal PS,Bengaluru North,Fraud,"IPC 420, IPC 468",Hebbal,13.042141,77.588743,A complaint regarding fraud was lodged at the Hebbal police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,closed,103,2025-08-17 05:21:00
BLR-2024-0104,2025-08-29,13:20:00,Yelahanka PS,Bengaluru North,Fraud,"IPC 420, IPC 468",Yelahanka,13.062171,77.568964,A complaint regarding fraud was lodged at the Yelahanka police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,104,2025-08-29 01:46:00
BLR-2024-0105,2025-10-26,02:15:00,Banashankari PS,Bengaluru South,Fraud,"IPC 420, IPC 468",Bannerghatta Road,12.898369,77.58751,"An incident of fraud was reported in Bannerghatta Road, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,105,2025-10-26 02:13:00
BLR-2024-0106,2025-08-16,20:00:00,Hebbal PS,Bengaluru North,Fraud,"IPC 420, IPC 468",Hebbal,13.03659,77.591271,A complaint regarding fraud was lodged at the Hebbal police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,under_investigation,106,2025-08-16 03:06:00
BLR-2024-0107,2025-07-10,13:20:00,BTM Layout PS,Bengaluru South,Chain Snatching,IPC 379,BTM Layout,12.910737,77.575262,Residents of BTM Layout reported a chain snatching incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,107,2025-07-10 05:08:00
BLR-2024-0108,2026-05-14,13:20:00,MG Road PS,Bengaluru Central,Fraud,"IPC 420, IPC 468",MG Road,12.971821,77.582181,"An incident of fraud was reported in MG Road, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,108,2026-05-14 04:06:00
BLR-2024-0109,2026-02-05,14:50:00,Malleswaram PS,Bengaluru North,Chain Snatching,IPC 379,Bannerghatta Road,13.03706,77.58351,"An incident of chain snatching was reported in Bannerghatta Road, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,109,2026-02-05 01:16:00
BLR-2024-0110,2026-03-05,18:30:00,JP Nagar PS,Bengaluru South,Burglary,IPC 379,JP Nagar,12.897986,77.554574,"An incident of burglary was reported in JP Nagar, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,110,2026-03-05 05:40:00
BLR-2024-0111,2025-07-29,13:20:00,Vijayanagar PS,Bengaluru West,Theft,IPC 379,Vijayanagar,12.979104,77.55678,A case of theft occurred near Vijayanagar area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,111,2025-07-29 02:07:00
BLR-2024-0112,2025-06-17,11:00:00,Vasanth Nagar PS,Bengaluru Central,Vandalism,"IPC 427, IPC 435",Kammanahalli,12.994253,77.61163,"An incident of vandalism was reported in Kammanahalli, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",under_investigation,112,2025-06-17 04:28:00
BLR-2024-0113,2025-11-27,13:20:00,KR Puram PS,Bengaluru East,Cheating,IPC 379,Koramangala,13.018813,77.748804,"An incident of cheating was reported in Koramangala, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",under_investigation,113,2025-11-27 05:03:00
BLR-2024-0114,2026-01-17,11:00:00,Cubbon Park PS,Bengaluru Central,Burglary,IPC 379,Brigade Road,13.007904,77.588312,"An incident of burglary was reported in Brigade Road, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,114,2026-01-17 01:10:00
BLR-2024-0115,2026-05-31,16:10:00,Hebbal PS,Bengaluru North,Cybercrime,"IT Act 66C, IT Act 66D",Malleshwaram,13.05312,77.560957,A case of cybercrime occurred near Malleshwaram area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,closed,115,2026-05-31 05:30:00
BLR-2024-0116,2025-07-25,13:20:00,Hebbal PS,Bengaluru North,Chain Snatching,IPC 379,Hebbal,13.021958,77.570167,A case of chain snatching occurred near Hebbal area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,closed,116,2025-07-25 01:43:00
BLR-2024-0117,2025-12-11,00:30:00,Banashankari PS,Bengaluru South,Domestic Violence,"IPC 498A, IPC 323",Brigade Road,12.945148,77.593754,A complaint regarding domestic violence was lodged at the Brigade Road police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,117,2025-12-11 04:07:00
BLR-2024-0118,2026-03-23,09:45:00,MG Road PS,Bengaluru Central,Drug Possession,IPC 379,Electronic City,12.995905,77.616336,A case of drug possession occurred near Electronic City area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,118,2026-03-23 01:10:00
BLR-2024-0119,2025-12-10,13:20:00,Marathahalli PS,Bengaluru East,Kidnapping,"IPC 363, IPC 365",Marathahalli,12.997604,77.728909,A complaint regarding kidnapping was lodged at the Marathahalli police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,closed,119,2025-12-10 01:29:00
BLR-2024-0120,2026-03-15,20:00:00,Yelahanka PS,Bengaluru North,Vandalism,"IPC 427, IPC 435",Yelahanka,13.061984,77.615987,"An incident of vandalism was reported in Yelahanka, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",under_investigation,120,2026-03-15 04:28:00
BLR-2024-0121,2025-07-24,02:15:00,Rajajinagar PS,Bengaluru West,Chain Snatching,IPC 379,Rajajinagar,13.005882,77.56226,A complaint regarding chain snatching was lodged at the Rajajinagar police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,121,2025-07-24 05:16:00
BLR-2024-0122,2025-10-25,22:45:00,Hebbal PS,Bengaluru North,Kidnapping,"IPC 363, IPC 365",Hebbal,13.02548,77.617334,A case of kidnapping occurred near Hebbal area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,under_investigation,122,2025-10-25 01:48:00
BLR-2024-0123,2025-06-09,09:45:00,JP Nagar PS,Bengaluru South,Stalking,IPC 354D,JP Nagar,12.930337,77.603418,A complaint regarding stalking was lodged at the JP Nagar police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,closed,123,2025-06-09 05:41:00
BLR-2024-0124,2026-05-07,00:30:00,Magadi Road PS,Bengaluru West,Theft,IPC 379,Bannerghatta Road,12.980889,77.540973,A complaint regarding theft was lodged at the Bannerghatta Road police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,closed,124,2026-05-07 01:30:00
BLR-2024-0125,2025-11-09,09:45:00,Marathahalli PS,Bengaluru East,Cheating,IPC 379,Sarjapur,12.976665,77.710416,A complaint regarding cheating was lodged at the Sarjapur police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,125,2025-11-09 04:44:00
BLR-2024-0126,2025-07-09,20:00:00,Magadi Road PS,Bengaluru West,Chain Snatching,IPC 379,HSR Layout,13.009755,77.528032,A case of chain snatching occurred near HSR Layout area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,126,2025-07-09 04:05:00
BLR-2024-0127,2025-12-31,16:10:00,Basavanagudi PS,Bengaluru East,Cybercrime,"IT Act 66C, IT Act 66D",Basavanagudi,12.970192,77.643911,A complaint regarding cybercrime was lodged at the Basavanagudi police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,under_investigation,127,2025-12-31 01:42:00
BLR-2024-0128,2025-06-08,20:00:00,BTM Layout PS,Bengaluru South,Burglary,IPC 379,BTM Layout,12.922338,77.553794,A case of burglary occurred near BTM Layout area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,128,2025-06-08 05:48:00
BLR-2024-0129,2026-04-11,11:00:00,Marathahalli PS,Bengaluru East,Cybercrime,"IT Act 66C, IT Act 66D",Marathahalli,13.000033,77.721199,A complaint regarding cybercrime was lodged at the Marathahalli police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,129,2026-04-11 05:08:00
BLR-2024-0130,2026-04-17,08:15:00,Rajajinagar PS,Bengaluru West,Cheating,IPC 379,Rajajinagar,12.996287,77.548878,"An incident of cheating was reported in Rajajinagar, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,130,2026-04-17 05:51:00
BLR-2024-0131,2025-12-05,16:10:00,Whitefield PS,Bengaluru East,Theft,IPC 379,Koramangala,12.97486,77.631641,A complaint regarding theft was lodged at the Koramangala police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,131,2025-12-05 02:53:00
BLR-2024-0132,2025-09-14,09:45:00,Jalahalli PS,Bengaluru North,Robbery,"IPC 392, IPC 394",Frazer Town,13.076824,77.59534,Residents of Frazer Town reported a robbery incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,closed,132,2025-09-14 03:32:00
BLR-2024-0133,2025-12-03,11:00:00,Marathahalli PS,Bengaluru East,Cybercrime,"IT Act 66C, IT Act 66D",Brigade Road,13.016778,77.747629,Residents of Brigade Road reported a cybercrime incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,closed,133,2025-12-03 05:09:00
